Timestamp,OS,Machine_ID,Hostname,RAM_Usage_MB,Swap_Usage_MB,CPU_Usage,Page_Faults_Delta
1747422169.3558993,Windows,BT7274_BT7274,BT7274,11276.56640625,14036.25390625,14.8,3411
1747422169.861017,Windows,BT7274_BT7274,BT7274,11276.85546875,14036.07421875,11.7,3411
1747422170.3668377,Windows,BT7274_BT7274,BT7274,11276.5625,14036.50390625,12.2,2094
1747422170.8845167,Windows,BT7274_BT7274,BT7274,11276.5625,14036.50390625,12.2,2094
1747422171.4881403,Windows,BT7274_BT7274,BT7274,11249.3828125,14038.08984375,20.3,2874
1747422171.9915822,Windows,BT7274_BT7274,BT7274,11250.13671875,14036.14453125,14.0,2874
1747422172.493261,Windows,BT7274_BT7274,BT7274,11252.03125,14036.0625,15.8,2602
1747422172.9996772,Windows,BT7274_BT7274,BT7274,11255.0,14035.8984375,14.4,2602
1747422173.5120075,Windows,BT7274_BT7274,BT7274,11255.39453125,14036.203125,12.9,3445
1747422174.0215514,Windows,BT7274_BT7274,BT7274,11255.375,14036.375,13.6,3445
1747422174.5234666,Windows,BT7274_BT7274,BT7274,11255.1484375,14037.1484375,15.0,3825
1747422175.024494,Windows,BT7274_BT7274,BT7274,11260.13671875,14037.06640625,11.9,3825
1747422175.5254214,Windows,BT7274_BT7274,BT7274,11258.73046875,14037.74609375,14.8,2125
1747422176.0292075,Windows,BT7274_BT7274,BT7274,11261.43359375,14037.64453125,15.8,2125
1747422176.533285,Windows,BT7274_BT7274,BT7274,11262.1171875,14038.0703125,15.0,2372
1747422177.040186,Windows,BT7274_BT7274,BT7274,11258.03125,14038.48828125,13.0,2372
1747422177.545595,Windows,BT7274_BT7274,BT7274,11257.20703125,14038.43359375,15.5,3469
1747422178.0467832,Windows,BT7274_BT7274,BT7274,11256.1171875,14038.41796875,15.1,3469
1747422178.5494478,Windows,BT7274_BT7274,BT7274,11257.8203125,14038.9921875,17.4,2810
1747422179.064932,Windows,BT7274_BT7274,BT7274,11254.95703125,14039.1328125,16.1,2810
1747422179.5664728,Windows,BT7274_BT7274,BT7274,11254.75390625,14038.99609375,15.3,5007
1747422180.0717335,Windows,BT7274_BT7274,BT7274,11252.78125,14038.7265625,14.2,5007
1747422180.576698,Windows,BT7274_BT7274,BT7274,11257.30859375,14041.12109375,14.5,2692
1747422181.0777855,Windows,BT7274_BT7274,BT7274,11253.10546875,14041.55078125,11.3,2692
1747422181.5787053,Windows,BT7274_BT7274,BT7274,11251.7109375,14039.6640625,14.6,2016
1747422182.0838277,Windows,BT7274_BT7274,BT7274,11247.0390625,14032.39453125,15.2,2016
1747422182.5857768,Windows,BT7274_BT7274,BT7274,11246.515625,14033.6640625,12.9,2324
1747422183.0884268,Windows,BT7274_BT7274,BT7274,11250.3515625,14033.22265625,11.8,2324
1747422183.589715,Windows,BT7274_BT7274,BT7274,11250.4609375,14033.21875,12.3,1915
1747422184.1011393,Windows,BT7274_BT7274,BT7274,11241.41796875,14032.36328125,12.8,1915
1747422184.6054204,Windows,BT7274_BT7274,BT7274,11239.98046875,14032.99609375,14.0,3060
1747422185.1183293,Windows,BT7274_BT7274,BT7274,11239.98046875,14032.99609375,14.0,3060
1747422185.6339135,Windows,BT7274_BT7274,BT7274,11237.73828125,14033.76171875,13.0,2835
1747422186.150284,Windows,BT7274_BT7274,BT7274,11238.80078125,14036.7890625,13.4,2835
1747422186.6591077,Windows,BT7274_BT7274,BT7274,11239.76171875,14038.6171875,12.6,3363
1747422187.1719315,Windows,BT7274_BT7274,BT7274,11239.375,14039.07421875,12.3,3363
1747422187.6777005,Windows,BT7274_BT7274,BT7274,11241.421875,14038.5546875,14.2,2842
1747422188.1956246,Windows,BT7274_BT7274,BT7274,11241.421875,14038.5546875,14.2,2842
1747422188.7128873,Windows,BT7274_BT7274,BT7274,11239.40234375,14038.88671875,13.6,4405
1747422189.2163002,Windows,BT7274_BT7274,BT7274,11240.56640625,14038.94921875,15.1,4405
1747422189.736167,Windows,BT7274_BT7274,BT7274,11241.02734375,14039.09375,13.5,3730
1747422190.2417197,Windows,BT7274_BT7274,BT7274,11241.02734375,14039.09375,13.5,3730
1747422190.752991,Windows,BT7274_BT7274,BT7274,11242.70703125,14039.44140625,14.3,2924
1747422191.2598124,Windows,BT7274_BT7274,BT7274,11242.70703125,14039.44140625,14.3,2924
1747422191.787334,Windows,BT7274_BT7274,BT7274,11241.953125,14041.40234375,11.9,2622
1747422192.3020778,Windows,BT7274_BT7274,BT7274,11243.84765625,14042.49609375,13.2,2622
1747422192.8080542,Windows,BT7274_BT7274,BT7274,11236.4765625,14042.29296875,11.3,3800
1747422193.3293839,Windows,BT7274_BT7274,BT7274,11236.26171875,14042.1640625,12.9,3800
1747422193.836522,Windows,BT7274_BT7274,BT7274,11236.26171875,14042.1640625,12.9,3474
1747422194.3622746,Windows,BT7274_BT7274,BT7274,11232.34765625,14042.94140625,12.1,3474
1747422194.8745234,Windows,BT7274_BT7274,BT7274,11233.5390625,14043.01171875,12.8,3343
1747422195.3924496,Windows,BT7274_BT7274,BT7274,11229.1796875,14042.36328125,12.5,3343
1747422195.8985515,Windows,BT7274_BT7274,BT7274,11232.87890625,14041.69921875,13.5,3526
1747422196.4057853,Windows,BT7274_BT7274,BT7274,11232.87890625,14041.69921875,13.5,3526
1747422196.9228086,Windows,BT7274_BT7274,BT7274,11229.91015625,14039.08984375,12.0,2734
1747422197.4358206,Windows,BT7274_BT7274,BT7274,11224.296875,14039.1796875,14.8,2734
1747422197.9374945,Windows,BT7274_BT7274,BT7274,11220.8828125,14039.3984375,13.9,3498
1747422198.4541383,Windows,BT7274_BT7274,BT7274,11219.14453125,14039.14453125,14.6,3498
1747422198.9630744,Windows,BT7274_BT7274,BT7274,11219.14453125,14039.14453125,14.6,3733
1747422199.4676263,Windows,BT7274_BT7274,BT7274,11217.47265625,14037.828125,12.9,3733
1747422199.983711,Windows,BT7274_BT7274,BT7274,11214.11328125,14036.9453125,15.0,3526
1747422200.4891083,Windows,BT7274_BT7274,BT7274,11216.03125,14037.90234375,13.4,3526
1747422201.014663,Windows,BT7274_BT7274,BT7274,11215.87890625,14038.03125,15.8,3380
1747422201.5194788,Windows,BT7274_BT7274,BT7274,11213.87109375,14038.625,16.9,3380
1747422202.026655,Windows,BT7274_BT7274,BT7274,11216.66796875,14037.81640625,13.8,2897
1747422202.5341835,Windows,BT7274_BT7274,BT7274,11216.66796875,14037.81640625,13.8,2897
1747422203.0626519,Windows,BT7274_BT7274,BT7274,11211.59375,14034.6796875,14.5,3089
1747422203.5717254,Windows,BT7274_BT7274,BT7274,11208.48828125,14035.0703125,12.7,3089
1747422204.0832903,Windows,BT7274_BT7274,BT7274,11209.74609375,14033.88671875,13.7,4173
1747422204.5887587,Windows,BT7274_BT7274,BT7274,11209.74609375,14033.88671875,13.7,4173
1747422205.1027071,Windows,BT7274_BT7274,BT7274,11206.6796875,14032.7265625,12.7,2814
1747422205.605276,Windows,BT7274_BT7274,BT7274,11206.6796875,14032.7265625,12.7,2814
1747422206.1213443,Windows,BT7274_BT7274,BT7274,11206.796875,14032.58203125,14.7,2734
1747422206.6376767,Windows,BT7274_BT7274,BT7274,11206.3515625,14032.91796875,12.8,2734
1747422207.1563852,Windows,BT7274_BT7274,BT7274,11206.17578125,14033.4765625,14.2,3397
1747422207.667171,Windows,BT7274_BT7274,BT7274,11200.13671875,14033.56640625,12.9,3397
1747422208.1857917,Windows,BT7274_BT7274,BT7274,11200.55859375,14033.6796875,15.0,3610
1747422208.687959,Windows,BT7274_BT7274,BT7274,11198.42578125,14034.23828125,13.4,3610
1747422209.207629,Windows,BT7274_BT7274,BT7274,11199.39453125,14036.15625,14.4,4412
1747422209.725059,Windows,BT7274_BT7274,BT7274,11200.69140625,14036.09375,14.1,4412
1747422210.238022,Windows,BT7274_BT7274,BT7274,11198.9140625,14036.52734375,14.3,2718
1747422210.7404509,Windows,BT7274_BT7274,BT7274,11198.9140625,14036.52734375,14.3,2718
